PM 1.0,PM 2.5,PM 10,temperature,gas,relative humidity,pressure,altitude,time
0,0,0,27.5454296875,56010,1013.2922500224417,-0.3517543847929283,66.17673182250134,1676508625.2810726
0,0,0,27.57375,50780,1013.2779763924013,-0.23291999035562894,65.35522025780337,1676508626.4743686
0,0,0,27.68625,52830,1013.2655148786581,-0.1291711714771182,66.77072612750567,1676508627.6672368
0,0,0,27.806953125,49932,1013.2650149224928,-0.12500874535508855,68.26746971543898,1676508628.8603616
0,0,0,27.91515625,53676,1013.2629013171218,-0.10741173186941122,69.90717339704517,1676508630.053437
0,0,0,28.049921875,50413,1013.2664433210825,-0.1369009907223373,70.89470110698542,1676508631.2467518
0,0,0,28.15265625,55052,1013.2691816631778,-0.15969923633311733,71.95275296102281,1676508632.4404352
0,0,0,28.364375,54057,1013.2726234577827,-0.18835405091329527,72.7193837182025,1676508633.6337743
0,0,0,28.38703125,56501,1013.275273636679,-0.21041817987113687,73.0318029174534,1676508634.827158
0,0,0,28.4864453125,57313,1013.2722798690982,-0.1854934915287032,72.71199335771988,1676508636.0205822
0,0,0,28.578046875,58229,1013.2844601784454,-0.2869005954352044,72.32679003610352,1676508637.2140296
0,0,0,28.6633984375,59301,1013.3020529658595,-0.433367515815275,71.61259861283048,1676508638.407912
0,0,0,28.859296875,60370,1013.3387071429584,-0.7385214381083416,70.84125759357913,1676508639.6012366
0,0,0,28.9946484375,60545,1013.3355875518271,-0.712550517719448,69.74316135806225,1676508640.7941833
0,0,0,29.0606640625,61433,1013.3418454305528,-0.7646479431772257,68.8287911333313,1676508641.9871235
0,0,0,29.1153515625,61932,1013.3343846633843,-0.7025363291201847,67.98639950116768,1676508643.1796482
0,0,0,29.237421875,62162,1013.33363717674,-0.6963134095235524,67.56459034725107,1676508644.372295
0,0,0,29.2997265625,63482,1013.3389158751618,-0.7402591530891622,67.11960298659477,1676508645.5679586
0,0,0,29.3817578125,56692,1013.3542307244351,-0.8677559047119954,65.4806812675502,1676508646.761531
0,0,0,29.5555859375,52139,1013.3550414759168,-0.8745054007416297,65.33534237387039,1676508647.9551945
