Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Temperature (C)
1681945895.9414985,37.87683,-122.255986,1.0,25.217890625
1681945902.757459,37.876788,-122.256001,0.0,25.46095703125
1681945909.349227,37.876795,-122.255981,0.0,25.733906249999997
1681945915.7719984,37.876786,-122.25595,0.0,25.89435546875
1681945922.0101469,37.876766,-122.255926,0.0,26.160175781249997
1681945928.38895,37.876741,-122.25593,0.0,26.478046875
1681945934.7354267,37.876749,-122.255931,0.0,26.663203125000003
1681945941.062362,37.876749,-122.255933,0.0,26.94552734375
1681945947.34062,37.876751,-122.255925,0.0,27.1180859375
1681945953.6657267,37.876746,-122.255925,0.0,27.21271484375
1681945959.9236736,37.876743,-122.25593,0.0,27.37130859375
1681945966.2509365,37.876728,-122.255941,0.0,27.613984375
1681945972.5142395,37.876733,-122.255969,0.0,27.81291015625
1681945978.8638816,37.876725,-122.256026,0.0,28.0716015625
1681945985.3110704,37.87673,-122.256055,0.0,28.26388671875
1681945991.6272717,37.87671,-122.256113,0.0,28.353046874999997
1681945998.0117033,37.876698,-122.256211,0.0,28.50568359375
1681946004.3502839,37.87667,-122.256265,0.0,28.57599609375
1681946010.6619895,37.87666,-122.256311,0.0,28.62287109375
1681946017.025045,37.876666,-122.256365,0.0,28.619648437499997
1681946023.393582,37.87666,-122.256446,0.0,28.569453125000003
1681946029.78816,37.876663,-122.256498,0.0,28.45236328125
1681946036.099152,37.876649,-122.256558,0.0,28.41818359375
1681946042.3857872,37.876641,-122.256618,0.0,28.30900390625
1681946048.9600365,37.876623,-122.256723,0.0,28.24435546875
1681946055.3262825,37.876611,-122.256783,0.0,28.10763671875
1681946061.7104716,37.87659,-122.256853,1.0,27.9387890625
1681946068.2217083,37.876551,-122.256941,1.0,27.89796875
1681946074.573078,37.876556,-122.257015,1.0,27.7716015625
1681946080.9446802,37.876566,-122.257075,1.0,27.697382812500003
1681946087.3682466,37.876564,-122.257143,1.0,27.59494140625
1681946093.9374878,37.876558,-122.257296,1.0,27.44484375
1681946100.3458781,37.876533,-122.257384,1.0,27.3399609375
1681946106.8428032,37.876526,-122.257448,1.0,27.23576171875
1681946113.5487509,37.876501,-122.257543,1.0,27.14787109375
1681946120.217608,37.876493,-122.257536,1.0,27.12853515625
1681946127.4741411,37.87649,-122.257538,0.0,27.20158203125
1681946134.1205597,37.876483,-122.257546,0.0,27.3122265625
1681946140.5797846,37.87647,-122.257618,0.0,27.37189453125
1681946147.1320062,37.876466,-122.257685,0.0,27.15099609375
1681946153.6226313,37.876445,-122.257825,0.0,26.914375
1681946160.1074743,37.876441,-122.257878,0.0,26.9024609375
1681946166.6350646,37.876426,-122.257931,0.0,26.96837890625
1681946173.3477368,37.876403,-122.258044,1.0,27.03615234375
1681946179.8631318,37.876406,-122.258083,1.0,27.0313671875
1681946186.3754241,37.876416,-122.258139,1.0,26.93205078125
1681946192.9362762,37.876426,-122.258203,1.0,26.84455078125
1681946199.4610653,37.876388,-122.258386,1.0,26.835078125000003
1681946206.0022354,37.876381,-122.25845,1.0,26.77921875
1681946212.6308615,37.87641,-122.25849,1.0,26.413984375
1681946219.210279,37.876388,-122.258586,1.0,26.135078125
1681946225.8422482,37.876376,-122.258593,1.0,25.92775390625
1681946232.6545115,37.87635,-122.258591,0.0,25.86984375
1681946239.3258522,37.876225,-122.258583,0.0,25.87228515625
1681946245.9915125,37.876185,-122.258636,0.0,25.5925
1681946252.5986652,37.876183,-122.258705,0.0,25.407734374999997
1681946259.261627,37.876188,-122.25885,0.0,25.40080078125
1681946265.9700027,37.87618,-122.258906,0.0,25.26046875
1681946272.6665235,37.876173,-122.258966,1.0,25.12794921875
1681946279.307268,37.876193,-122.259138,1.0,25.13224609375
1681946285.8816936,37.876175,-122.259178,1.0,25.141718750000003
1681946292.6867087,37.87616,-122.25923,1.0,25.19865234375
1681946299.4668634,37.876121,-122.259334,1.0,25.221796875000003
1681946306.1581502,37.876101,-122.259381,1.0,25.27501953125
1681946312.7561345,37.87607,-122.259435,0.5,25.40333984375
1681946319.498018,37.876098,-122.259583,1.0,25.48009765625
1681946326.2022307,37.87606,-122.259611,1.0,25.52697265625
1681946332.7799244,37.875998,-122.25961,0.0,25.54650390625
1681946339.5087714,37.875891,-122.259558,0.0,25.57921875
1681946346.5830708,37.875843,-122.259523,0.0,25.57912109375
1681946353.2628834,37.875798,-122.259494,0.0,25.57736328125
1681946359.9793665,37.875758,-122.259466,1.0,25.63595703125
1681946366.8240674,37.875745,-122.259456,1.0,25.7247265625
1681946373.5951195,37.875735,-122.259445,1.5,25.8192578125
1681946380.3825116,37.875661,-122.259473,1.0,25.8673046875
1681946387.1060495,37.875613,-122.259463,1.0,25.88439453125
1681946394.1065695,37.875565,-122.259438,1.0,25.86720703125
1681946400.8809483,37.87549,-122.259393,1.0,25.7348828125
1681946407.6428576,37.875406,-122.259366,1.0,25.5618359375
1681946414.4869082,37.875308,-122.259318,1.0,25.55255859375
