Epoch time,Latitude,Longitude,Pressure (Pa),Radiation (cps)
1682789144.333899,37.879556,-122.259221,96.65435140836371,26.8
1682789155.5430484,37.879723,-122.259068,97.55048580390977,28.0
1682789166.564017,37.879771,-122.259031,95.99686931531762,30.4
1682789177.9547079,37.879693,-122.258766,98.15714803368792,29.4
1682789189.571177,37.879726,-122.25855,97.92508107057654,26.6
1682789200.7434406,37.879771,-122.258391,100.82810656072871,30.4
1682789212.100863,37.879786,-122.25822,102.19840665274285,27.6
1682789223.1426442,37.879825,-122.258015,103.93276693568421,23.8
1682789234.415132,37.879949,-122.257985,103.85905896469035,26.6
1682789245.4790144,37.880098,-122.257938,104.33939147233605,27.2
1682789256.8289776,37.880203,-122.257831,106.97744805763705,33.4
1682789268.0678077,37.88037,-122.257721,107.24019298128945,32.8
1682789279.4635978,37.880485,-122.257726,110.75952876227404,36.0
1682789290.6032355,37.880599,-122.257863,112.97681431079414,29.4
1682789302.192836,37.880726,-122.25809,114.44089932631877,35.4
1682789313.3438408,37.880576,-122.258311,113.66468671691581,34.6
1682789324.7153232,37.880755,-122.258326,116.72968381227395,24.0
1682789336.1358776,37.880755,-122.258326,119.45322488415738,30.8
1682789347.6390405,37.880755,-122.258326,121.0993179902465,29.6
1682789358.7294016,37.881356,-122.25829,117.83353446111477,29.4
1682789370.1427262,37.881195,-122.258309,115.61556221832143,28.2
1682789381.2794645,37.88118,-122.258525,119.63985558047985,26.2
1682789392.8497777,37.881073,-122.258415,121.73332815597641,27.2
1682789404.0963576,37.881196,-122.258533,122.9660993444435,31.2
1682789415.295528,37.881485,-122.258601,124.48858480498156,31.6
1682789426.8323598,37.881596,-122.258471,125.63165728087505,33.8
1682789437.9922798,37.881596,-122.258528,126.48159814782474,23.4
1682789449.4008515,37.881731,-122.258443,127.47794077788431,34.0
1682789460.812161,37.881731,-122.258443,128.1723683837414,29.0
1682789472.3941686,37.881731,-122.258443,128.47040487933867,30.4
1682789483.6425045,37.881906,-122.258361,130.14771932978863,33.6
1682789495.105918,37.881886,-122.258411,132.21134095738012,35.4
1682789506.3905456,37.881886,-122.258411,133.23199386985755,36.4
1682789518.163702,37.881886,-122.258411,134.79320199559032,34.6
1682789529.585841,37.881886,-122.258411,136.61491057927134,33.0
1682789541.2483459,37.881886,-122.258411,137.84445898338913,41.0
1682789552.6709762,37.882541,-122.258104,138.6148322508144,37.6
1682789564.2705886,37.882733,-122.25816,140.25717940412804,38.8
1682789575.650428,37.882875,-122.258248,141.91378484702275,39.4
1682789587.6716423,37.882933,-122.258358,143.0340942260787,31.4
1682789599.3245716,37.883085,-122.258311,145.31636278208822,31.4
1682789610.9471433,37.883131,-122.258296,147.90831700078132,34.8
1682789622.4551148,37.883131,-122.258296,149.41760200578716,28.2
1682789634.091678,37.883131,-122.258296,150.4979557226049,23.8
1682789645.6595697,37.883131,-122.258296,151.97666632354452,30.0
1682789657.4941218,37.883131,-122.258296,152.20555632981365,26.6
1682789668.8566678,37.883131,-122.258296,153.9009063644746,26.4
1682789680.562973,37.883131,-122.258296,155.31433748334683,29.2
1682789691.984501,37.883131,-122.258296,155.07855150668044,31.0
1682789703.8688512,37.883131,-122.258296,163.6379539194933,33.8
1682789715.5665224,37.883615,-122.256546,161.30837509129756,35.0
1682789727.2244835,37.883815,-122.256579,163.00630521892538,27.4
1682789739.288856,37.884068,-122.256871,172.45681081594336,28.2
1682789754.4187098,37.884128,-122.256978,164.80461100868197,31.8
1682789767.3264086,37.88423,-122.256958,163.7053789102444,26.8
1682789779.1492682,37.884335,-122.256886,164.7246458333896,26.2
1682789790.766894,37.884271,-122.256713,166.11390579365354,25.4
1682789802.3917222,37.884256,-122.256655,170.63362400771126,28.6
1682789813.8490489,37.884191,-122.256608,169.9760582830953,25.8
1682789825.800593,37.884228,-122.256468,172.7889350596639,28.0
1682789837.28445,37.88429,-122.256381,176.08943336187377,27.2
1682789848.8822389,37.884403,-122.256241,177.4814407536066,25.8
1682789860.3540545,37.884526,-122.256151,161.80024359509395,30.6
1682789872.0865715,37.884521,-122.25596,179.10908120332232,32.0
1682789883.482685,37.884521,-122.255671,185.60237299459078,33.6
1682789895.1344512,37.884621,-122.255346,185.2599650741462,35.0
1682789906.5075634,37.884575,-122.255268,149.77263707417532,29.6
1682789918.3037767,37.88454,-122.255181,182.129635778416,32.8
1682789929.9336889,37.884568,-122.254748,191.73183402793654,31.0
1682789941.9510062,37.884646,-122.254626,191.09373256174513,30.0
1682789953.7059047,37.884716,-122.254555,193.98369119874604,31.8
1682789965.7227747,37.884756,-122.254501,192.60897962908098,26.2
1682789977.3248453,37.884863,-122.254263,196.55407864802777,29.8
1682789989.094146,37.8849,-122.254166,200.16780114161958,29.8
1682790000.9753923,37.884901,-122.254073,199.4449215912217,23.0
1682790012.8899083,37.884796,-122.253906,202.78423543436168,26.0
1682790024.3713129,37.884916,-122.25388,204.99189469824302,24.2
1682790036.3242338,37.885063,-122.253923,209.5448653468334,24.2
1682790048.0334039,37.88507,-122.253808,211.51260644916164,29.0
1682790059.9946582,37.885038,-122.253733,214.45121021934708,24.6
1682790071.63619,37.885123,-122.254033,216.36820209746497,21.4
1682790083.593194,37.885248,-122.253896,219.53192563067967,21.0
1682790095.5305784,37.885208,-122.253931,218.99780856731934,26.6
1682790107.5973628,37.885208,-122.253931,218.24354391576662,27.8
1682790119.3299809,37.885208,-122.253931,217.19234013679537,28.8
1682790131.3176508,37.885778,-122.253504,215.73042639977376,24.2
1682790143.0882888,37.885941,-122.253701,214.20728722212561,24.8
1682790154.7128358,37.885855,-122.253878,215.7688315972851,27.4
1682790166.6844952,37.885733,-122.254058,219.55344337415204,29.6
1682790178.5496066,37.885738,-122.254041,215.48352499162263,30.4
1682790190.5027814,37.885738,-122.254041,189.64512683429808,30.0
1682790202.2955163,37.885916,-122.253668,221.2746692295075,33.0
1682790214.180201,37.88594,-122.253541,226.4417508856493,36.6
1682790225.883735,37.885953,-122.253469,229.75645117143546,34.2
1682790238.1110036,37.885953,-122.253469,229.92827967935642,31.8
1682790250.1211224,37.885953,-122.253469,230.02131531894673,30.2
1682790262.1230385,37.88591,-122.248658,230.34085271826746,32.4
1682790274.1365688,37.88591,-122.248658,232.72250494337527,34.2
1682790286.318526,37.88591,-122.248658,233.4359860848576,25.2
1682790298.3070297,37.88591,-122.248658,235.63111405421586,27.4
1682790310.4539587,37.88591,-122.248658,236.9100112835464,28.4
1682790322.5341587,37.885905,-122.253421,187.29106226558952,31.6
1682790334.6833763,37.885916,-122.253243,230.44247111047963,31.4
1682790346.486868,37.886006,-122.253081,245.49049095428902,33.8
