PM 1.0,PM 2.5,PM 10,temperature,gas,pressure,altitude,relative humidity,time
0,2,2,23.12765625,129045,997.1348727846366,135.0417367703959,25.638371963157006,1677108551.325114
0,2,2,23.1149609375,132098,997.1137406440487,135.21997662894248,25.381707816365456,1677108552.5174656
0,2,2,23.1036328125,132098,997.0931286613534,135.39383214224932,25.0009371644243,1677108553.7100995
0,2,2,23.0880078125,132831,997.0618532072178,135.657636200759,24.675039425125206,1677108554.9028218
0,2,2,23.0895703125,130962,997.0433858681916,135.8134087552591,24.57787406080338,1677108556.0958886
0,2,2,23.0966015625,126894,997.0375323631894,135.8627837318249,24.783819594183925,1677108557.290132
0,2,2,23.1094921875,126225,997.0115836999736,136.0816664666403,25.310664704009593,1677108558.482723
0,2,2,23.120625,128451,997.0020210640924,136.1623305863461,25.84498911235144,1677108559.6752312
0,2,2,23.138984375,126702,996.9904384981155,136.26003434944707,26.20688600888406,1677108560.868454
0,1,2,23.1610546875,126035,996.9867856466597,136.2908478619255,26.740232485849347,1677108562.0620158
0,0,1,23.1630078125,128352,996.974233302417,136.39673346003732,27.169473865826287,1677108563.2555764
0,0,1,23.1794140625,129344,996.9611513082411,136.50708808148678,27.26444154131265,1677108564.448246
0,0,1,23.2063671875,127280,996.9603510549858,136.5138387451606,27.437575204546988,1677108565.6401565
0,0,1,23.20421875,130047,996.9585317331345,136.52918594046778,27.614206986467217,1677108566.8327649
0,0,1,23.2247265625,127668,996.9750994507012,136.38942701093578,27.643453525383308,1677108568.0254807
0,0,2,23.2212109375,132202,996.9920774055838,136.24620942723706,27.903333605048925,1677108569.219746
0,0,2,23.2016796875,137070,997.0210335962946,136.00195395927238,27.48138931902806,1677108570.412535
0,0,2,23.173359375,140756,997.0248230717231,135.96998885046617,26.75764463993061,1677108571.606046
0,0,1,23.1419140625,143040,997.0216517148407,135.99673997849635,25.93933181885248,1677108572.7989123
0,0,1,23.0954296875,145022,997.0197805638107,136.01252360207445,25.163046772214834,1677108573.9914722
0,0,1,23.0378125,146161,997.0186802360429,136.02180515122492,24.47163632470747,1677108575.1840866
0,0,1,22.964765625,147968,997.0059231731306,136.12941488005453,23.82594964096443,1677108576.3766875
0,0,1,22.8762890625,149955,997.0183564061549,136.02453674162004,23.268148997564484,1677108577.5689702
0,0,1,22.7958203125,151584,997.0247812477835,135.9703416446129,22.772056729671032,1677108578.7613025
0,1,3,22.73,150901,997.0362662890055,135.87346324159384,22.374486330779078,1677108579.9538238
0,1,3,22.6563671875,152689,997.0312108535414,135.916106644101,22.030676250435206,1677108581.146855
0,1,3,22.55109375,154806,997.0313279789801,135.9151186704113,22.272773099075856,1677108582.3393934
0,0,1,22.41046875,157277,997.0338973188341,135.8934458601166,21.54006115910348,1677108583.531973
0,0,1,22.2680859375,156982,997.0281894498466,135.9415927485868,21.25769601374587,1677108584.7245293
0,0,1,22.1301953125,156982,997.0263735825035,135.9569099588683,20.924042283989127,1677108585.9178312
0,1,2,21.9911328125,157277,997.0085001008599,136.10767761635987,20.784770941359213,1677108587.111993
0,1,2,21.8364453125,158019,996.9802777202613,136.3457454949465,20.629142962306066,1677108588.3070405
0,1,2,21.655,160134,996.9669209926412,136.45841712047184,20.60261650603774,1677108589.4996054
0,1,2,21.4497265625,162464,996.9627324328436,136.4937502662032,20.652954535906467,1677108590.6921275
0,0,1,21.2216015625,163255,996.9675172724269,136.4533871338831,20.57154146610557,1677108591.884765
0,0,1,20.96203125,164538,996.9721096475216,136.41464770812834,20.41035372559328,1677108593.0773466
0,0,1,20.756171875,166501,996.9453279309398,136.64056951294492,20.346237783422406,1677108594.270371
0,0,1,20.623359375,164055,996.9615855236432,136.50342519020512,20.666229179168376,1677108595.4666953
0,0,1,20.5044140625,161992,996.9904133292525,136.26024666027564,20.779015723142315,1677108596.6591513
0,0,1,20.389375,163894,996.9644964086826,136.4788700019223,20.51182728256773,1677108597.8515294
0,0,1,20.3219921875,165350,996.9848772629944,136.3069460081002,21.002875020035336,1677108599.0441563
0,1,2,20.2212109375,166501,996.9686985331454,136.4434224806621,20.73088226921758,1677108600.24118
0,1,1,20.1258984375,167500,997.0367613275187,135.86928752238157,20.860689400737588,1677108601.4398408
0,1,1,20.037421875,167836,997.0462845394223,135.7889582225642,20.81893064143533,1677108602.6333764
0,1,1,19.953828125,168851,997.0289823441117,135.93490453131622,20.80874541913627,1677108603.8270326
0,0,0,19.86671875,169706,997.0232512827477,135.9832472450184,20.81398283401873,1677108605.020334
0,0,0,19.7856640625,169878,997.029349591623,135.93180672862584,20.861251934629575,1677108606.2131722
0,0,0,19.710078125,170224,996.9904112961442,136.26026381047288,20.778648528731292,1677108607.4055288
0,0,0,19.6329296875,171268,996.9680562484938,136.44884054148454,20.763668467765786,1677108608.5982387
0,0,0,19.56125,171619,996.9513253344438,136.58997695082584,20.790647948041933,1677108609.7907324
0,0,0,19.4973828125,171795,996.959851234918,136.5180550591042,20.823295822353483,1677108610.9833088
0,0,0,19.4251171875,172503,996.9525775553437,136.57941356666907,20.876272263446737,1677108612.176831
0,0,0,19.406171875,174298,996.9750363867015,136.3899589911535,21.287157023716066,1677108613.3699193
0,0,0,19.435859375,173037,997.0019526218725,136.1629079222476,21.335981010039937,1677108614.5627904
0,0,0,19.467890625,173936,997.0310382261615,135.917562786609,21.32746645876776,1677108615.7577727
0,0,0,19.489765625,174661,997.0536260277129,135.72703241627647,21.32356379284293,1677108616.950912
0,0,0,19.53234375,175393,997.072396783928,135.56870186492839,21.315687474781498,1677108618.1444342
0,0,0,19.595234375,175209,997.0884334380211,135.43343526351873,21.29858692978771,1677108619.3376067
0,0,0,19.66515625,174843,997.0952470778122,135.37596383953567,21.28191161722731,1677108620.5312922
